cost,quality,discharge,income,incomeval,costval,provider_id,provider
0.000657895,0.839144737,0,0,0,0,190006,UNIVERSITY HOSPITAL & CLINICS
0.011184211,0.906907895,0,0,0,0,370190,"SOUTHWESTERN REGIONAL MEDICAL CENTER, INC"
0.000328947,0.923355263,0,0,0,0,450221,MOORE COUNTY HOSPITAL DISTRICT
0,0.980263158,0,0,0,0,190257,GREEN CLINIC SURGICAL HOSPITAL
0.002960526,0.93125,0.001315789,0,0,0,490143,RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG
0.001315789,0.13125,0.001644737,0,0,0,50113,SAN MATEO MEDICAL CENTER
0.003289474,0.534868421,0.001644737,0,0,0,50765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY
0.004605263,0.96875,0.002302632,0,0,0,450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB
0.004276316,0.999671053,0.002302632,0,0,0,190241,PHYSICIANS MEDICAL CENTER
0.007236842,0.978947368,0.002960526,0,0,0,450891,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLAN
0.007894737,0.989802632,0.003289474,0,0,0,190267,FAIRWAY MEDICAL CENTER
0.000986842,0.902960526,0.003289474,0,0,0,260004,COOPER COUNTY MEMORIAL HOSPITAL
0.001644737,0.891776316,0.003289474,0,0,0,370173,CLAREMORE INDIAN HOSPITAL
0.00625,0.868092105,0.003289474,0,0,0,50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR
0.004934211,0,0.004605263,0,0,0,360361,KINGS DAUGHTERS MEDICAL CENTER OHIO
0.005263158,0,0.004605263,0,0,0,230301,OAKLAND REGIONAL HOSPITAL
0.001973684,0,0.005263158,0,0,0,450584,WILBARGER GENERAL HOSPITAL
0.002302632,0.709539474,0.005263158,0,0,0,450155,HEREFORD REGIONAL MEDICAL CENTER
0.002631579,0.840789474,0.005921053,0,0,0,20018,YUKON KUSKOKWIM DELTA REG HOSPITAL
0.005921053,0.816118421,0.005921053,0,0,0,50677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS
0.008552632,0.862171053,0.006578947,0,0,0,380056,SANTIAM MEMORIAL HOSPITAL
0.003947368,0.745394737,0.006907895,0,0,0,450144,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO
0.006578947,0.905592105,0.007236842,0,0,0,360189,MADISON COUNTY HOSPITAL INC
0.0375,0.945723684,0.007565789,0,0,0,60118,ST ANTHONY SUMMIT MEDICAL CENTER
0.010197368,0.916776316,0.007894737,0,0,0,30132,"FLORENCE HOSPITAL AT ANTHEM, LLC"
0.020723684,0.906907895,0.008223684,0,0,0,140100,MIDWESTERN REGION MED CENTER
0.038157895,0.976973684,0.008223684,0,0,0,450808,NORTHWEST HILLS SURGICAL HOSPITAL
0.008881579,0.996052632,0.008223684,0,0,0,30120,GILBERT HOSPITAL
0.013486842,0.573026316,0.008223684,0,0,0,50710,KAISER FOUNDATION HOSPITAL - FRESNO
0.003618421,0.780263158,0.009539474,0,0,0,110130,IRWIN COUNTY HOSPITAL
0.006907895,0.960526316,0.009868421,0,0,0,370172,CHOCTAW NATION HEALTH SERVICES AUTHORITY
0.011842105,0.971381579,0.010197368,0,0,0,450889,TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT
0.007565789,0.987171053,0.010197368,0,0,0,50697,PATIENTS' HOSPITAL OF REDDING
0.008223684,0,0.010197368,0,0,0,430096,LEWIS AND CLARK SPECIALTY HOSPITAL
0.010526316,0,0.010197368,0,0,0,450796,NORTHWEST TEXAS SURGERY CENTER
0.015131579,0.855263158,0.011513158,0,0,0,120028,NORTH HAWAII COMMUNITY HOSPITAL
0.009868421,0.980263158,0.011842105,0,0,0,450874,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS
0.009539474,0.989802632,0.012171053,0,0,0,450834,"PHYSICIANS CENTRE,THE"
0.011513158,0.999671053,0.012171053,0,0,0,100313,SACRED HEART HOSPITAL ON THE GULF
0.014144737,0.868092105,0.012171053,0,0,0,110111,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER
0.023684211,0.478289474,0.012171053,0,0,0,50510,KAISER FOUNDATION HOSPITAL
0.016776316,0.535526316,0.013486842,0,0,0,50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES
0.005592105,0,0.013486842,0,0,0,190297,DOCTORS HOSPITAL AT DEER CREEK LLC
0.017434211,0.367105263,0.014144737,0,0,0,460017,BRIGHAM CITY COMMUNITY HOSPITAL
0.016447368,0.465460526,0.014473684,0,0,0,50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY
0.022368421,0.709539474,0.014802632,0,0,0,50070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO
0.027631579,0.952631579,0.014802632,0,0,0,670085,TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE
0.021381579,0.998684211,0.015460526,0,0,0,150177,UNITY MEDICAL AND SURGICAL HOSPITAL
0.028618421,0.654276316,0.015460526,0,0,0,50690,KAISER FOUNDATION HOSPITAL-SANTA ROSA
0.022039474,0.55625,0.015460526,0,0,0,50748,KAISER FOUNDATION HOSPITAL MANTECA
0.021710526,0.313815789,0.015460526,0,0,0,460030,ASHLEY REGIONAL MEDICAL CENTER
0.010855263,0.997368421,0.016776316,0,0,0,260227,BLACK RIVER COMMUNITY MEDICAL CENTER
0.042434211,0.906907895,0.017105263,0,0,0,390312,CANCER TREATMENT CENTERS OF AMERICA
0.013815789,0.839144737,0.017434211,0,0,0,370138,MEMORIAL HOSPITAL OF TEXAS COUNTY
0.044407895,0.959539474,0.017763158,0,0,0,450872,USMD HOSPITAL AT ARLINGTON L P
0.026973684,0.515789474,0.018092105,0,0,0,50541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY
0.029934211,0.429934211,0.018092105,0,0,0,50744,ANAHEIM GLOBAL MEDICAL CENTER
0.024342105,0.313815789,0.01875,0,0,0,50686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE"
0.012171053,0.980263158,0.01875,0,0,0,360362,TRIHEALTH EVENDALE HOSPITAL
0.038486842,0.968092105,0.01875,0,0,0,130063,TREASURE VALLEY HOSPITAL
0.021052632,0.959539474,0.019736842,0,0,0,340148,NOVANT HEALTH MEDICAL PARK HOSPITAL
0.033552632,0.825657895,0.019736842,0,0,0,50609,KAISER FOUNDATION HOSPITAL - ANAHEIM
0.023026316,0.864802632,0.019736842,0,0,0,260050,ST FRANCIS HOSPITAL & HEALTH SERVICES
0.036513158,0.905592105,0.020723684,0,0,0,50434,COLUSA REGIONAL MEDICAL CENTER
0.013157895,0,0.020723684,0,0,0,260080,SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY
0.009210526,0.639473684,0.021381579,0,0,0,30078,PHOENIX INDIAN MEDICAL CENTER
0.017763158,0.94375,0.021710526,0,0,0,220058,CLINTON HOSPITAL ASSOCIATION
0.014473684,0.983881579,0.021710526,0,0,0,450860,SUGAR LAND SURGICAL HOSPITAL LLP
0.018421053,0.960526316,0.022368421,0,0,0,450369,CHILDRESS REGIONAL MEDICAL CENTER
0.0125,0.299671053,0.022368421,0,0,0,330111,BERTRAND CHAFFEE HOSPITAL
0.025986842,0.624671053,0.023026316,0,0,0,50723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK
0.034539474,0.515789474,0.023026316,0,0,0,50767,KAISER FOUNDATION HOSPITAL - VACAVILLE
0.029605263,0.200986842,0.023684211,0,0,0,440111,METRO NASHVILLE GENERAL HOSPITAL
0.069736842,0.905592105,0.023684211,0,0,0,50189,GEORGE L MEE MEMORIAL HOSPITAL
0.018092105,0.998026316,0.024342105,0,0,0,370192,NORTHWEST SURGICAL HOSPITAL
